"Method","alpha","n","p","seed","s","est_error","TPR","FPR"
"glmnet",0.05,10000,1000,168,10,0.03178346040477,1,0
"two-step",0.05,10000,1000,169,10,0.162714313204055,1,0.0303030303030303
"two-step+Adaptive Lasso",0.05,10000,1000,169,10,0.390092140421282,1,0.0262626262626263
"two-step oracle",0.05,10000,1000,169,10,0.0146455156916899,NA,NA
"glmnet",0.05,10000,1000,169,10,0.0292058268230893,1,0
"two-step",0.05,10000,1000,16,10,0.146179836484692,1,0.00303030303030303
"two-step+Adaptive Lasso",0.05,10000,1000,16,10,0.193355327555806,1,0
"two-step oracle",0.05,10000,1000,16,10,0.018603449978602,NA,NA
"glmnet",0.05,10000,1000,16,10,0.0366124593901586,1,0
"two-step",0.05,10000,1000,171,10,0.051656508297752,1,0.00202020202020202
"two-step+Adaptive Lasso",0.05,10000,1000,171,10,0.102389917869894,1,0
"two-step oracle",0.05,10000,1000,171,10,0.0125548875498988,NA,NA
"glmnet",0.05,10000,1000,171,10,0.0298087651497425,1,0
"two-step",0.05,10000,1000,172,10,0.140040634262715,1,0.00202020202020202
"two-step+Adaptive Lasso",0.05,10000,1000,172,10,0.184098110377041,1,0
"two-step oracle",0.05,10000,1000,172,10,0.0103483804354672,NA,NA
"glmnet",0.05,10000,1000,172,10,0.0310455466414776,1,0
"two-step",0.05,10000,1000,173,10,0.130018496706104,1,0.0141414141414141
"two-step+Adaptive Lasso",0.05,10000,1000,173,10,0.364415054860978,1,0.0121212121212121
"two-step oracle",0.05,10000,1000,173,10,0.011086684880504,NA,NA
"glmnet",0.05,10000,1000,173,10,0.0254289145138506,1,0
"two-step",0.05,10000,1000,174,10,0.153350417212603,1,0.00505050505050505
"two-step+Adaptive Lasso",0.05,10000,1000,174,10,0.303562022035163,1,0.00505050505050505
"two-step oracle",0.05,10000,1000,174,10,0.0124571810237732,NA,NA
"glmnet",0.05,10000,1000,174,10,0.025737145625265,1,0
"two-step",0.05,10000,1000,175,10,0.105618735460765,1,0.00101010101010101
"two-step+Adaptive Lasso",0.05,10000,1000,175,10,0.172137929522539,1,0
"two-step oracle",0.05,10000,1000,175,10,0.0110722774487247,NA,NA
"glmnet",0.05,10000,1000,175,10,0.0275592155410394,1,0
"two-step",0.05,10000,1000,178,10,0.104223552695191,1,0.00202020202020202
"two-step+Adaptive Lasso",0.05,10000,1000,178,10,0.170283137283803,1,0
"two-step oracle",0.05,10000,1000,178,10,0.016349063688324,NA,NA
"glmnet",0.05,10000,1000,178,10,0.0295625866903488,1,0
"two-step",0.05,10000,1000,179,10,0.201032681424729,1,0.00909090909090909
"two-step+Adaptive Lasso",0.05,10000,1000,179,10,0.337499171372231,1,0.00909090909090909
"two-step oracle",0.05,10000,1000,179,10,0.0153727313505754,NA,NA
"glmnet",0.05,10000,1000,179,10,0.0275437651028457,1,0
"two-step",0.05,10000,1000,17,10,0.178428739863905,1,0.00202020202020202
"two-step+Adaptive Lasso",0.05,10000,1000,17,10,0.248974053064041,1,0.00202020202020202
"two-step oracle",0.05,10000,1000,17,10,0.0110550954453821,NA,NA
"glmnet",0.05,10000,1000,17,10,0.0323591158723909,1,0
"two-step",0.05,10000,1000,181,10,0.122200410314539,1,0.0121212121212121
"two-step+Adaptive Lasso",0.05,10000,1000,181,10,0.316864192394354,1,0.0121212121212121
"two-step oracle",0.05,10000,1000,181,10,0.0142283121609515,NA,NA
"glmnet",0.05,10000,1000,181,10,0.0304366596306716,1,0
"two-step",0.05,10000,1000,182,10,0.155213222475361,1,0.0111111111111111
"two-step+Adaptive Lasso",0.05,10000,1000,182,10,0.21244188572336,1,0
"two-step oracle",0.05,10000,1000,182,10,0.0181166866292228,NA,NA
"glmnet",0.05,10000,1000,182,10,0.0293656191150362,1,0
"two-step",0.05,10000,1000,187,10,0.12447205546879,1,0.00404040404040404
"two-step+Adaptive Lasso",0.05,10000,1000,187,10,0.249656647728809,1,0.00404040404040404
"two-step oracle",0.05,10000,1000,187,10,0.0146820473832049,NA,NA
"glmnet",0.05,10000,1000,187,10,0.0279733463383634,1,0
"two-step",0.05,10000,1000,188,10,0.100122703266269,1,0.0202020202020202
"two-step+Adaptive Lasso",0.05,10000,1000,188,10,0.248323437074575,1,0.0181818181818182
"two-step oracle",0.05,10000,1000,188,10,0.0166294298138599,NA,NA
"glmnet",0.05,10000,1000,188,10,0.0294573849202765,1,0
"two-step",0.05,10000,1000,189,10,0.1744537672939,1,0.00202020202020202
"two-step+Adaptive Lasso",0.05,10000,1000,189,10,0.200424614006658,1,0
"two-step oracle",0.05,10000,1000,189,10,0.0145954979309955,NA,NA
"glmnet",0.05,10000,1000,189,10,0.0308255979322353,1,0
"two-step",0.05,10000,1000,18,10,0.111858602467094,1,0
"two-step+Adaptive Lasso",0.05,10000,1000,18,10,0.169666515445148,1,0
"two-step oracle",0.05,10000,1000,18,10,0.00932192593535278,NA,NA
"glmnet",0.05,10000,1000,18,10,0.0262585765554699,1,0
"two-step",0.05,10000,1000,190,10,0.132003155349245,1,0.0171717171717172
"two-step+Adaptive Lasso",0.05,10000,1000,190,10,0.319189742134681,1,0.0151515151515152
"two-step oracle",0.05,10000,1000,190,10,0.00859984099068594,NA,NA
"glmnet",0.05,10000,1000,190,10,0.0345123770323597,1,0
"two-step",0.05,10000,1000,191,10,0.117703866024797,1,0.00808080808080808
"two-step+Adaptive Lasso",0.05,10000,1000,191,10,0.176008412188377,1,0
"two-step oracle",0.05,10000,1000,191,10,0.0181816120946797,NA,NA
"glmnet",0.05,10000,1000,191,10,0.0340567392792141,1,0
"two-step",0.05,10000,1000,192,10,0.117938410378877,1,0
"two-step+Adaptive Lasso",0.05,10000,1000,192,10,0.170725567261105,1,0
"two-step oracle",0.05,10000,1000,192,10,0.0128259134134132,NA,NA
"glmnet",0.05,10000,1000,192,10,0.0271363313137399,1,0
"two-step",0.05,10000,1000,193,10,0.0797731971216307,1,0.00101010101010101
"two-step+Adaptive Lasso",0.05,10000,1000,193,10,0.138073990511703,1,0
"two-step oracle",0.05,10000,1000,193,10,0.0201796102665395,NA,NA
"glmnet",0.05,10000,1000,193,10,0.0283351553060179,1,0
"two-step",0.05,10000,1000,194,10,0.132286793044873,1,0.0111111111111111
"two-step+Adaptive Lasso",0.05,10000,1000,194,10,0.314425019923554,1,0.0111111111111111
"two-step oracle",0.05,10000,1000,194,10,0.013385862975414,NA,NA
"glmnet",0.05,10000,1000,194,10,0.0275499806704802,1,0
"two-step",0.05,10000,1000,195,10,0.235525515416242,1,0.00909090909090909
"two-step+Adaptive Lasso",0.05,10000,1000,195,10,0.369262287408862,1,0.00909090909090909
"two-step oracle",0.05,10000,1000,195,10,0.0147832397638967,NA,NA
"glmnet",0.05,10000,1000,195,10,0.0328517628006881,1,0
"two-step",0.05,10000,1000,196,10,0.160194309274371,1,0.00909090909090909
"two-step+Adaptive Lasso",0.05,10000,1000,196,10,0.309541552937296,1,0.00909090909090909
"two-step oracle",0.05,10000,1000,196,10,0.0143622121099987,NA,NA
"glmnet",0.05,10000,1000,196,10,0.0321527555163482,1,0
"two-step",0.05,10000,1000,197,10,0.117657053198709,1,0.00404040404040404
"two-step+Adaptive Lasso",0.05,10000,1000,197,10,0.23419392783591,1,0.00303030303030303
"two-step oracle",0.05,10000,1000,197,10,0.00999439112312687,NA,NA
"glmnet",0.05,10000,1000,197,10,0.0272578608717067,1,0
"two-step",0.05,10000,1000,198,10,0.15152703651055,1,0.00303030303030303
"two-step+Adaptive Lasso",0.05,10000,1000,198,10,0.234917198009234,1,0.00303030303030303
"two-step oracle",0.05,10000,1000,198,10,0.0134159270054358,NA,NA
"glmnet",0.05,10000,1000,198,10,0.0325278135143727,1,0
"two-step",0.05,10000,1000,199,10,0.105734826986814,1,0.00404040404040404
"two-step+Adaptive Lasso",0.05,10000,1000,199,10,0.234670225861906,1,0.00404040404040404
"two-step oracle",0.05,10000,1000,199,10,0.0116194659604371,NA,NA
"glmnet",0.05,10000,1000,199,10,0.0222111145552211,1,0
"two-step",0.05,10000,1000,19,10,0.167463600463555,1,0.00303030303030303
"two-step+Adaptive Lasso",0.05,10000,1000,19,10,0.216613934008073,1,0
"two-step oracle",0.05,10000,1000,19,10,0.0119376873164246,NA,NA
"glmnet",0.05,10000,1000,19,10,0.0300482402486085,1,0
"two-step",0.05,10000,1000,1,10,0.132047664387257,1,0.0252525252525253
"two-step+Adaptive Lasso",0.05,10000,1000,1,10,0.428908897818754,1,0.0222222222222222
"two-step oracle",0.05,10000,1000,1,10,0.0132420864191862,NA,NA
