"Method","alpha","n","p","seed","s","est_error","est_error_FP","TPR","FPR"
"two-step+refitted",0.05,10000,1000,151,10,0.0710206995465321,0.270806703951511,1,0.0313131313131313
"two-step oracle",0.05,10000,1000,151,10,0.0572190876533479,0,NA,NA
"two-step",0.05,10000,1000,152,10,0.10353572929919,0.0473888612665807,1,0.0272727272727273
"two-step+refitted",0.05,10000,1000,152,10,0.0432881448607493,0.223981228823971,1,0.0272727272727273
"two-step oracle",0.05,10000,1000,152,10,0.0425362432894877,0,NA,NA
"two-step",0.05,10000,1000,153,10,0.137628233733066,0.0421100142717722,1,0.0161616161616162
"two-step+refitted",0.05,10000,1000,153,10,0.05708035138596,0.20784894785245,1,0.0161616161616162
"two-step oracle",0.05,10000,1000,153,10,0.0488122471667144,0,NA,NA
"two-step",0.05,10000,1000,154,10,0.116315389852823,0.0575345408300137,1,0.0373737373737374
"two-step+refitted",0.05,10000,1000,154,10,0.0556262977558411,0.274785793723621,1,0.0373737373737374
"two-step oracle",0.05,10000,1000,154,10,0.0549434580254358,0,NA,NA
"two-step",0.05,10000,1000,155,10,0.156421930810929,0.0359724562005082,1,0.0222222222222222
"two-step+refitted",0.05,10000,1000,155,10,0.0664165453899581,0.194614332918398,1,0.0222222222222222
"two-step oracle",0.05,10000,1000,155,10,0.0671630708886048,0,NA,NA
"two-step",0.05,10000,1000,156,10,0.143260877266789,0.0570286561414763,1,0.0535353535353535
"two-step+refitted",0.05,10000,1000,156,10,0.0837282179218857,0.301594736903344,1,0.0535353535353535
"two-step oracle",0.05,10000,1000,156,10,0.0781780973405028,0,NA,NA
"two-step",0.05,10000,1000,157,10,0.124436542484327,0.0455355114457341,1,0.0333333333333333
"two-step+refitted",0.05,10000,1000,157,10,0.0655109362271322,0.252683244018789,1,0.0333333333333333
"two-step oracle",0.05,10000,1000,157,10,0.0656820299642724,0,NA,NA
"two-step",0.05,10000,1000,158,10,0.182437148211381,0.0125387828926473,1,0.00909090909090909
"two-step+refitted",0.05,10000,1000,158,10,0.0662334734732945,0.15581075850079,1,0.00909090909090909
"two-step oracle",0.05,10000,1000,158,10,0.0664464560024422,0,NA,NA
"two-step",0.05,10000,1000,159,10,0.153640292387959,0.0373736629753134,1,0.0222222222222222
"two-step+refitted",0.05,10000,1000,159,10,0.0624883405954964,0.206513988679287,1,0.0222222222222222
"two-step oracle",0.05,10000,1000,159,10,0.0658793485811846,0,NA,NA
"two-step",0.05,10000,1000,15,10,0.135778265975637,0.0620494527440676,1,0.0545454545454545
"two-step+refitted",0.05,10000,1000,15,10,0.0584578636527171,0.296766105794857,1,0.0545454545454545
"two-step oracle",0.05,10000,1000,15,10,0.0551394036313902,0,NA,NA
"two-step",0.05,10000,1000,160,10,0.142812355251545,0.0529507319740135,1,0.0383838383838384
"two-step+refitted",0.05,10000,1000,160,10,0.0435836906400518,0.259283117758129,1,0.0383838383838384
"two-step oracle",0.05,10000,1000,160,10,0.0265829840027029,0,NA,NA
"two-step",0.05,10000,1000,161,10,0.122564217091875,0.0952731315109455,1,0.0828282828282828
"two-step+refitted",0.05,10000,1000,161,10,0.0945383413227777,0.342538585057273,1,0.0828282828282828
"two-step oracle",0.05,10000,1000,161,10,0.103027155861955,0,NA,NA
"two-step",0.05,10000,1000,162,10,0.144642511028822,0.0770584806331573,1,0.0656565656565657
"two-step+refitted",0.05,10000,1000,162,10,0.0834888867803714,0.31908386282232,1,0.0656565656565657
"two-step oracle",0.05,10000,1000,162,10,0.0794633571785858,0,NA,NA
"two-step",0.05,10000,1000,163,10,0.109706869811941,0.033589314883901,1,0.0252525252525253
"two-step+refitted",0.05,10000,1000,163,10,0.0706715735796539,0.215805447246558,1,0.0252525252525253
"two-step oracle",0.05,10000,1000,163,10,0.0648886478854847,0,NA,NA
"two-step",0.05,10000,1000,164,10,0.11695027584996,0.0879049159984487,1,0.0747474747474747
"two-step+refitted",0.05,10000,1000,164,10,0.0701480784221024,0.341217390238339,1,0.0747474747474747
"two-step oracle",0.05,10000,1000,164,10,0.0669842315755947,0,NA,NA
"two-step",0.05,10000,1000,165,10,0.139795770658545,0.0446553388488501,1,0.0222222222222222
"two-step+refitted",0.05,10000,1000,165,10,0.0385504546850536,0.224020486371649,1,0.0222222222222222
"two-step oracle",0.05,10000,1000,165,10,0.0419011268282728,0,NA,NA
"two-step",0.05,10000,1000,166,10,0.124406271165131,0.0775595092843228,1,0.0666666666666667
"two-step+refitted",0.05,10000,1000,166,10,0.0530161605580268,0.339424925711568,1,0.0666666666666667
"two-step oracle",0.05,10000,1000,166,10,0.0574100169103295,0,NA,NA
"two-step",0.05,10000,1000,167,10,0.161713540434808,0.0544796590298568,1,0.0444444444444444
"two-step+refitted",0.05,10000,1000,167,10,0.0725889327972723,0.29666562796287,1,0.0444444444444444
"two-step oracle",0.05,10000,1000,167,10,0.072377125609477,0,NA,NA
"two-step",0.05,10000,1000,168,10,0.128457034888302,0.048904984082515,1,0.0313131313131313
"two-step+refitted",0.05,10000,1000,168,10,0.0443548524521824,0.247627406758786,1,0.0313131313131313
"two-step oracle",0.05,10000,1000,168,10,0.0385323609692657,0,NA,NA
"two-step",0.05,10000,1000,169,10,0.15491422608173,0.0680500330835155,1,0.0515151515151515
"two-step+refitted",0.05,10000,1000,169,10,0.0590132906435382,0.326217691342091,1,0.0515151515151515
"two-step oracle",0.05,10000,1000,169,10,0.0664213253659406,0,NA,NA
"two-step",0.05,10000,1000,16,10,0.142181201860108,0.056688450473742,1,0.0363636363636364
"two-step+refitted",0.05,10000,1000,16,10,0.0721967597654758,0.258857915848516,1,0.0363636363636364
"two-step oracle",0.05,10000,1000,16,10,0.0872453400483015,0,NA,NA
"two-step",0.05,10000,1000,170,10,0.131337024672766,0.0562664377314958,1,0.0272727272727273
"two-step+refitted",0.05,10000,1000,170,10,0.0569847482497118,0.231985405331909,1,0.0272727272727273
"two-step oracle",0.05,10000,1000,170,10,0.0555305156571742,0,NA,NA
"two-step",0.05,10000,1000,171,10,0.144730371370113,0.0643289885423991,1,0.0373737373737374
"two-step+refitted",0.05,10000,1000,171,10,0.0919413614322433,0.296239736960835,1,0.0373737373737374
"two-step oracle",0.05,10000,1000,171,10,0.100837440937122,0,NA,NA
"two-step",0.05,10000,1000,172,10,0.143462937123539,0.0533846276256815,1,0.0383838383838384
"two-step+refitted",0.05,10000,1000,172,10,0.0546038640716644,0.270960595880377,1,0.0383838383838384
"two-step oracle",0.05,10000,1000,172,10,0.0680185190465622,0,NA,NA
"two-step",0.05,10000,1000,173,10,0.135382672352133,0.0277458359093451,1,0.0141414141414141
"two-step+refitted",0.05,10000,1000,173,10,0.060009899336465,0.174469302605267,1,0.0141414141414141
"two-step oracle",0.05,10000,1000,173,10,0.0606419490952484,0,NA,NA
"two-step",0.05,10000,1000,174,10,0.147211106594314,0.0556170978661096,1,0.0393939393939394
"two-step+refitted",0.05,10000,1000,174,10,0.0551401237766015,0.269303563780128,1,0.0393939393939394
"two-step oracle",0.05,10000,1000,174,10,0.0593530757520338,0,NA,NA
"two-step",0.05,10000,1000,175,10,0.146759947232386,0.0495213306118182,1,0.0303030303030303
"two-step+refitted",0.05,10000,1000,175,10,0.0604998189755836,0.261369790032469,1,0.0303030303030303
"two-step oracle",0.05,10000,1000,175,10,0.0587199416114431,0,NA,NA
"two-step",0.05,10000,1000,176,10,0.172381652376549,0.060436746016876,1,0.0393939393939394
"two-step+refitted",0.05,10000,1000,176,10,0.0924354898806624,0.280974010505799,1,0.0393939393939394
"two-step oracle",0.05,10000,1000,176,10,0.087046173417982,0,NA,NA
"two-step",0.05,10000,1000,177,10,0.190728614018696,0.0571495234956029,1,0.0333333333333333
"two-step+refitted",0.05,10000,1000,177,10,0.0822175083652532,0.271879456033342,1,0.0333333333333333
"two-step oracle",0.05,10000,1000,177,10,0.0523001403616739,0,NA,NA
"two-step",0.05,10000,1000,178,10,0.132146589433666,0.0501584355146329,1,0.0272727272727273
"two-step+refitted",0.05,10000,1000,178,10,0.056140269579373,0.23659170136935,1,0.0272727272727273
"two-step oracle",0.05,10000,1000,178,10,0.0661835374799923,0,NA,NA
"two-step",0.05,10000,1000,179,10,0.130261048259122,0.0751082350262442,1,0.0515151515151515
"two-step+refitted",0.05,10000,1000,179,10,0.0535704082348348,0.305053514006229,1,0.0515151515151515
"two-step oracle",0.05,10000,1000,179,10,0.05084014779434,0,NA,NA
"two-step",0.05,10000,1000,17,10,0.149862958304167,0.0653267697304535,1,0.0474747474747475
"two-step+refitted",0.05,10000,1000,17,10,0.0690518156770891,0.295864720330818,1,0.0474747474747475
"two-step oracle",0.05,10000,1000,17,10,0.0700182375009577,0,NA,NA
"two-step",0.05,10000,1000,180,10,0.124788204195824,0.0687216858501366,1,0.0373737373737374
"two-step+refitted",0.05,10000,1000,180,10,0.0714992180582375,0.27175309920212,1,0.0373737373737374
"two-step oracle",0.05,10000,1000,180,10,0.083444741133866,0,NA,NA
