"Method","alpha","n","p","seed","s","mul","est_error","est_error_FP","TPR","FPR"
"two-step",0.2,2500,1000,110,10,0.8,0.178325439364431,0.0697557311415901,1,0.0434343434343434
"two-step+refitted",0.2,2500,1000,110,10,0.8,0.0975984070953049,0.332156393210176,1,0.0434343434343434
"two-step oracle",0.2,2500,1000,110,10,0.8,0.111568931097448,0,NA,NA
"two-step",0.2,2500,1000,110,10,1,0.135698416445793,0.0518608265574989,1,0.0424242424242424
"two-step+refitted",0.2,2500,1000,110,10,1,0.0743831408885779,0.251537497230772,1,0.0424242424242424
"two-step oracle",0.2,2500,1000,110,10,1,0.0845483561200362,0,NA,NA
"two-step",0.2,2500,1000,111,10,0.2,0.854754906736655,0.432716446430304,0.5,0.0212121212121212
"two-step+refitted",0.2,2500,1000,111,10,0.2,0.598830331572327,1.80202538693228,0.5,0.0212121212121212
"two-step oracle",0.2,2500,1000,111,10,0.2,0.437828348592739,0,NA,NA
"two-step",0.2,2500,1000,111,10,0.4,0.473827623510711,0.292011021924813,1,0.0767676767676768
"two-step+refitted",0.2,2500,1000,111,10,0.4,0.23885516138766,1.02899485662433,1,0.0767676767676768
"two-step oracle",0.2,2500,1000,111,10,0.4,0.177240816624792,0,NA,NA
"two-step",0.2,2500,1000,111,10,0.6,0.269584864015092,0.143787158367683,1,0.0585858585858586
"two-step+refitted",0.2,2500,1000,111,10,0.6,0.129604459451427,0.518098511578124,1,0.0585858585858586
"two-step oracle",0.2,2500,1000,111,10,0.6,0.0974012096391302,0,NA,NA
"two-step",0.2,2500,1000,111,10,0.8,0.186017579003231,0.0951349256875535,1,0.0555555555555556
"two-step+refitted",0.2,2500,1000,111,10,0.8,0.0887982355149897,0.350313815648082,1,0.0555555555555556
"two-step oracle",0.2,2500,1000,111,10,0.8,0.0665276785228488,0,NA,NA
"two-step",0.2,2500,1000,111,10,1,0.140954680224546,0.0721135158786528,1,0.0555555555555556
"two-step+refitted",0.2,2500,1000,111,10,1,0.0672924909080786,0.265472101773492,1,0.0555555555555556
"two-step oracle",0.2,2500,1000,111,10,1,0.0504155215996138,0,NA,NA
"two-step",0.2,2500,1000,112,10,0.2,0.863337262418173,0.105566557514528,0.4,0.00505050505050505
"two-step+refitted",0.2,2500,1000,112,10,0.2,0.786264283018118,0.936727441975384,0.4,0.00505050505050505
"two-step oracle",0.2,2500,1000,112,10,0.2,0.577387807865038,0,NA,NA
"two-step",0.2,2500,1000,112,10,0.4,0.450269512119071,0.103370829958952,1,0.0141414141414141
"two-step+refitted",0.2,2500,1000,112,10,0.4,0.217509108464836,0.56505288968305,1,0.0141414141414141
"two-step oracle",0.2,2500,1000,112,10,0.4,0.233737004248645,0,NA,NA
"two-step",0.2,2500,1000,112,10,0.6,0.24165987490349,0.0634817959664306,1,0.0161616161616162
"two-step+refitted",0.2,2500,1000,112,10,0.6,0.121137829520034,0.332401495384766,1,0.0161616161616162
"two-step oracle",0.2,2500,1000,112,10,0.6,0.128448217429731,0,NA,NA
"two-step",0.2,2500,1000,112,10,0.8,0.165683040918923,0.0426188817961011,1,0.0151515151515152
"two-step+refitted",0.2,2500,1000,112,10,0.8,0.0810359657809824,0.219669377209692,1,0.0151515151515152
"two-step oracle",0.2,2500,1000,112,10,0.8,0.0877336302871227,0,NA,NA
"two-step",0.2,2500,1000,112,10,1,0.124996578179576,0.0329631359159192,1,0.0181818181818182
"two-step+refitted",0.2,2500,1000,112,10,1,0.0628762635695694,0.177725499686899,1,0.0181818181818182
"two-step oracle",0.2,2500,1000,112,10,1,0.0664856617720972,0,NA,NA
"two-step",0.2,2500,1000,113,10,0.2,1,0,0,0
"two-step+refitted",0.2,2500,1000,113,10,0.2,1,0,0,0
"two-step oracle",0.2,2500,1000,113,10,0.2,0.441349895937245,0,NA,NA
"two-step",0.2,2500,1000,113,10,0.4,0.536782457282731,0.293906886476332,1,0.0707070707070707
"two-step+refitted",0.2,2500,1000,113,10,0.4,0.301396349348263,0.985619852706286,1,0.0707070707070707
"two-step oracle",0.2,2500,1000,113,10,0.4,0.178666402540205,0,NA,NA
"two-step",0.2,2500,1000,113,10,0.6,0.298661959780049,0.154051668183161,1,0.0646464646464646
"two-step+refitted",0.2,2500,1000,113,10,0.6,0.167868567060517,0.524888150069154,1,0.0646464646464646
"two-step oracle",0.2,2500,1000,113,10,0.6,0.0981846284658396,0,NA,NA
"two-step",0.2,2500,1000,113,10,0.8,0.197511688578261,0.118745099530869,1,0.0838383838383838
"two-step+refitted",0.2,2500,1000,113,10,0.8,0.111910239864545,0.392372496174994,1,0.0838383838383838
"two-step oracle",0.2,2500,1000,113,10,0.8,0.0670627749148267,0,NA,NA
"two-step",0.2,2500,1000,113,10,1,0.150099912239282,0.0890684320507422,1,0.0828282828282828
"two-step+refitted",0.2,2500,1000,113,10,1,0.0850510917919136,0.297155063909344,1,0.0828282828282828
"two-step oracle",0.2,2500,1000,113,10,1,0.0508210244565677,0,NA,NA
"two-step",0.2,2500,1000,114,10,0.2,0.742157086776308,0.360522574207955,0.4,0.0191919191919192
"two-step+refitted",0.2,2500,1000,114,10,0.2,0.571571025791215,1.76105304789699,0.4,0.0191919191919192
"two-step oracle",0.2,2500,1000,114,10,0.2,0.464622104961195,0,NA,NA
"two-step",0.2,2500,1000,114,10,0.4,0.45505714943434,0.222267511793756,1,0.0373737373737374
"two-step+refitted",0.2,2500,1000,114,10,0.4,0.162911308543651,0.859466602397971,1,0.0373737373737374
"two-step oracle",0.2,2500,1000,114,10,0.4,0.188087412726791,0,NA,NA
"two-step",0.2,2500,1000,114,10,0.6,0.252654858343097,0.118092835747084,1,0.0353535353535354
"two-step+refitted",0.2,2500,1000,114,10,0.6,0.0884972402712623,0.466479723090031,1,0.0353535353535354
"two-step oracle",0.2,2500,1000,114,10,0.6,0.103361865885925,0,NA,NA
"two-step",0.2,2500,1000,114,10,0.8,0.170238724984719,0.0843243620420441,1,0.0373737373737374
"two-step+refitted",0.2,2500,1000,114,10,0.8,0.0611490536754397,0.322602444509495,1,0.0373737373737374
"two-step oracle",0.2,2500,1000,114,10,0.8,0.0705989690544667,0,NA,NA
"two-step",0.2,2500,1000,114,10,1,0.131749688588298,0.0596597852856111,1,0.0333333333333333
