"Method","alpha","n","p","seed","s","mul","est_error","est_error_FP","TPR","FPR"
"two-step+refitted",0.2,2500,1000,115,10,1,0.0801220108650639,0.26894349313661,1,0.0575757575757576
"two-step oracle",0.2,2500,1000,115,10,1,0.0768900762415032,0,NA,NA
"two-step",0.2,2500,1000,116,10,0.2,0.656516805061179,0.0276102310439839,0.5,0.00101010101010101
"two-step+refitted",0.2,2500,1000,116,10,0.2,0.550454057431459,0.413976197983878,0.5,0.00101010101010101
"two-step oracle",0.2,2500,1000,116,10,0.2,0.789219433140127,0,NA,NA
"two-step",0.2,2500,1000,116,10,0.4,0.287984482850991,0.0687967700467187,1,0.0121212121212121
"two-step+refitted",0.2,2500,1000,116,10,0.4,0.31355852091331,0.539578043700867,1,0.0121212121212121
"two-step oracle",0.2,2500,1000,116,10,0.4,0.319490268904511,0,NA,NA
"two-step",0.2,2500,1000,116,10,0.6,0.158924226036658,0.0227334811205274,1,0.0101010101010101
"two-step+refitted",0.2,2500,1000,116,10,0.6,0.169483017499007,0.280535190757655,1,0.0101010101010101
"two-step oracle",0.2,2500,1000,116,10,0.6,0.175573207412525,0,NA,NA
"two-step",0.2,2500,1000,116,10,0.8,0.108042733374228,0.0270184757505713,1,0.0141414141414141
"two-step+refitted",0.2,2500,1000,116,10,0.8,0.117188780890165,0.212280133898587,1,0.0141414141414141
"two-step oracle",0.2,2500,1000,116,10,0.8,0.119921281709353,0,NA,NA
"two-step",0.2,2500,1000,116,10,1,0.0818958769636918,0.0204924825377098,1,0.0141414141414141
"two-step+refitted",0.2,2500,1000,116,10,1,0.0888094855583258,0.160869068937305,1,0.0141414141414141
"two-step oracle",0.2,2500,1000,116,10,1,0.0908778737288199,0,NA,NA
"two-step",0.2,2500,1000,117,10,0.2,0.804645900939983,0.283241335136986,0.2,0.0111111111111111
"two-step+refitted",0.2,2500,1000,117,10,0.2,0.914752514599321,1.35871980583342,0.2,0.0111111111111111
"two-step oracle",0.2,2500,1000,117,10,0.2,0.880127461560978,0,NA,NA
"two-step",0.2,2500,1000,117,10,0.4,0.38736541709316,0.12763429869617,1,0.0121212121212121
"two-step+refitted",0.2,2500,1000,117,10,0.4,0.327405557667954,0.584869543098559,1,0.0121212121212121
"two-step oracle",0.2,2500,1000,117,10,0.4,0.356291479348853,0,NA,NA
"two-step",0.2,2500,1000,117,10,0.6,0.209063869602515,0.0864386971858672,1,0.0171717171717172
"two-step+refitted",0.2,2500,1000,117,10,0.6,0.184171659872089,0.347104012548954,1,0.0171717171717172
"two-step oracle",0.2,2500,1000,117,10,0.6,0.195797005077884,0,NA,NA
