"Method","alpha","n","p","seed","s","est_error","est_error_FP","TPR","FPR"
"two-step oracle",0.05,10000,1000,159,10,0.08400958230195,0,NA,NA
"two-step(bic)",0.05,10000,1000,15,10,0.112557684954716,0,1,0
"two-step+refitted",0.05,10000,1000,15,10,0.0944204806283419,0,1,0
"two-step oracle",0.05,10000,1000,15,10,0.101590853514606,0,NA,NA
"two-step(bic)",0.05,10000,1000,160,10,0.0611706016135637,0,1,0
"two-step+refitted",0.05,10000,1000,160,10,0.0544347450099345,0,1,0
"two-step oracle",0.05,10000,1000,160,10,0.055182878024823,0,NA,NA
"two-step(bic)",0.05,10000,1000,161,10,0.0727704761549442,0,1,0
"two-step+refitted",0.05,10000,1000,161,10,0.0630665683570958,0,1,0
"two-step oracle",0.05,10000,1000,161,10,0.0764536810738426,0,NA,NA
"two-step(bic)",0.05,10000,1000,162,10,0.0942821527984491,0,1,0
"two-step+refitted",0.05,10000,1000,162,10,0.0499140424242699,0,1,0
"two-step oracle",0.05,10000,1000,162,10,0.0503757427626043,0,NA,NA
"two-step(bic)",0.05,10000,1000,163,10,0.128681994626105,0,1,0
"two-step+refitted",0.05,10000,1000,163,10,0.10675169883598,0,1,0
"two-step oracle",0.05,10000,1000,163,10,0.121534944997409,0,NA,NA
"two-step(bic)",0.05,10000,1000,164,10,0.0909059479614321,0.0125403468661255,1,0.00101010101010101
"two-step+refitted",0.05,10000,1000,164,10,0.0680365668958014,0.0592163564824397,1,0.00101010101010101
"two-step oracle",0.05,10000,1000,164,10,0.0797350389355573,0,NA,NA
"two-step(bic)",0.05,10000,1000,165,10,0.0814517688613665,0,1,0
"two-step+refitted",0.05,10000,1000,165,10,0.0663373034899857,0,1,0
"two-step oracle",0.05,10000,1000,165,10,0.0659422448677073,0,NA,NA
"two-step(bic)",0.05,10000,1000,166,10,0.0794466098574075,0.0121335967951137,1,0.00101010101010101
"two-step+refitted",0.05,10000,1000,166,10,0.0676239168197462,0.0569634447247625,1,0.00101010101010101
"two-step oracle",0.05,10000,1000,166,10,0.0663945302501993,0,NA,NA
"two-step(bic)",0.05,10000,1000,167,10,0.0800656386738982,0,1,0
"two-step+refitted",0.05,10000,1000,167,10,0.0621947090059016,0,1,0
"two-step oracle",0.05,10000,1000,167,10,0.0704115753976775,0,NA,NA
"two-step(bic)",0.05,10000,1000,168,10,0.118900496310161,0,1,0
"two-step+refitted",0.05,10000,1000,168,10,0.0965123321569595,0,1,0
"two-step oracle",0.05,10000,1000,168,10,0.107211323796423,0,NA,NA
"two-step(bic)",0.05,10000,1000,169,10,0.099354436039283,0.00722175261280296,1,0.00101010101010101
"two-step+refitted",0.05,10000,1000,169,10,0.060645618361313,0.0634071893661616,1,0.00101010101010101
"two-step oracle",0.05,10000,1000,169,10,0.0592075412115014,0,NA,NA
"two-step(bic)",0.05,10000,1000,16,10,0.105967164171427,0,1,0
"two-step+refitted",0.05,10000,1000,16,10,0.0756413046825793,0,1,0
"two-step oracle",0.05,10000,1000,16,10,0.0685299487409941,0,NA,NA
"two-step(bic)",0.05,10000,1000,170,10,0.0776634358910744,0,1,0
"two-step+refitted",0.05,10000,1000,170,10,0.056241375867702,0,1,0
"two-step oracle",0.05,10000,1000,170,10,0.0639191738362083,0,NA,NA
"two-step(bic)",0.05,10000,1000,171,10,0.0857860309833471,0,1,0
"two-step+refitted",0.05,10000,1000,171,10,0.0706183200282593,0,1,0
"two-step oracle",0.05,10000,1000,171,10,0.0845737692986711,0,NA,NA
"two-step(bic)",0.05,10000,1000,172,10,0.108045114509384,0.0162613818624477,1,0.00202020202020202
"two-step+refitted",0.05,10000,1000,172,10,0.068226131663316,0.0685618952521081,1,0.00202020202020202
"two-step oracle",0.05,10000,1000,172,10,0.0771077624677191,0,NA,NA
"two-step(bic)",0.05,10000,1000,173,10,0.0827562618479186,0,1,0
"two-step+refitted",0.05,10000,1000,173,10,0.0753059463246834,0,1,0
"two-step oracle",0.05,10000,1000,173,10,0.0777487488422968,0,NA,NA
"two-step(bic)",0.05,10000,1000,174,10,0.0770891452262066,0,1,0
"two-step+refitted",0.05,10000,1000,174,10,0.0501829857847871,0,1,0
"two-step oracle",0.05,10000,1000,174,10,0.0599012234030732,0,NA,NA
"two-step(bic)",0.05,10000,1000,175,10,0.0980408697563124,0,1,0
"two-step+refitted",0.05,10000,1000,175,10,0.0653836556500949,0,1,0
"two-step oracle",0.05,10000,1000,175,10,0.0714591503701042,0,NA,NA
"two-step(bic)",0.05,10000,1000,176,10,0.0802229907519081,0,1,0
"two-step+refitted",0.05,10000,1000,176,10,0.0490477446844862,0,1,0
"two-step oracle",0.05,10000,1000,176,10,0.052588087718859,0,NA,NA
"two-step(bic)",0.05,10000,1000,177,10,0.0863721687354259,0,1,0
"two-step+refitted",0.05,10000,1000,177,10,0.0571320239885428,0,1,0
