"Method","alpha","n","p","seed","s","est_error","TPR","FPR"
"glmnet",0.05,10000,1000,192,10,0.0443888292140493,1,0
"two-step",0.05,10000,1000,193,10,0.0823115721970057,1,0.0323232323232323
"two-step+Adaptive Lasso",0.05,10000,1000,193,10,0.354421145108365,1,0.0292929292929293
"two-step oracle",0.05,10000,1000,193,10,0.0132477151199791,NA,NA
"glmnet",0.05,10000,1000,193,10,0.0419135435085925,1,0
"two-step",0.05,10000,1000,195,10,0.0923003973798594,1,0.0363636363636364
"two-step+Adaptive Lasso",0.05,10000,1000,195,10,0.355952706015628,1,0.0323232323232323
"two-step oracle",0.05,10000,1000,195,10,0.00710869399515956,NA,NA
"glmnet",0.05,10000,1000,195,10,0.0510603128978291,1,0
"two-step",0.05,10000,1000,197,10,0.0803294059710552,1,0.0424242424242424
"two-step+Adaptive Lasso",0.05,10000,1000,197,10,0.391598270836079,1,0.0424242424242424
"two-step oracle",0.05,10000,1000,197,10,0.00737436278348999,NA,NA
"glmnet",0.05,10000,1000,197,10,0.0370556377440542,1,0.00101010101010101
"two-step",0.05,10000,1000,19,10,0.0659862032055702,1,0.0161616161616162
"two-step+Adaptive Lasso",0.05,10000,1000,19,10,0.293821006546063,1,0.0141414141414141
"two-step oracle",0.05,10000,1000,19,10,0.00880765782771691,NA,NA
"glmnet",0.05,10000,1000,19,10,0.0413576401086618,1,0
"two-step",0.05,10000,1000,1,10,0.0869110830119608,1,0.00808080808080808
"two-step+Adaptive Lasso",0.05,10000,1000,1,10,0.308619977634696,1,0.00808080808080808
"two-step oracle",0.05,10000,1000,1,10,0.0120545959092178,NA,NA
"glmnet",0.05,10000,1000,1,10,0.0441215135511735,1,0
"two-step",0.05,10000,1000,201,10,0.0811416204707213,1,0.0494949494949495
"two-step+Adaptive Lasso",0.05,10000,1000,201,10,0.350238081310166,1,0.0474747474747475
"two-step oracle",0.05,10000,1000,201,10,0.0116126052228744,NA,NA
"glmnet",0.05,10000,1000,201,10,0.0503550182721285,1,0
"two-step",0.05,10000,1000,203,10,0.0667291613493212,1,0.0191919191919192
"two-step+Adaptive Lasso",0.05,10000,1000,203,10,0.280816009581307,1,0.0191919191919192
"two-step oracle",0.05,10000,1000,203,10,0.00972462233492575,NA,NA
"glmnet",0.05,10000,1000,203,10,0.0536703130497762,1,0
"two-step",0.05,10000,1000,204,10,0.0831907004434451,1,0.0343434343434343
"two-step+Adaptive Lasso",0.05,10000,1000,204,10,0.362412596710284,1,0.0323232323232323
"two-step oracle",0.05,10000,1000,204,10,0.0095541461295916,NA,NA
"glmnet",0.05,10000,1000,204,10,0.0501189598129517,1,0
"two-step",0.05,10000,1000,205,10,0.11170389308962,1,0.00707070707070707
"two-step+Adaptive Lasso",0.05,10000,1000,205,10,0.302152165808066,1,0.00707070707070707
"two-step oracle",0.05,10000,1000,205,10,0.0115274236573116,NA,NA
"glmnet",0.05,10000,1000,205,10,0.0450351873106507,1,0
"two-step",0.05,10000,1000,206,10,0.0680813435158606,1,0.0131313131313131
"two-step+Adaptive Lasso",0.05,10000,1000,206,10,0.332060510699551,1,0.0121212121212121
"two-step oracle",0.05,10000,1000,206,10,0.0119794218889943,NA,NA
"glmnet",0.05,10000,1000,206,10,0.0417177890284824,1,0
"two-step",0.05,10000,1000,207,10,0.0517391617882506,1,0.0191919191919192
"two-step+Adaptive Lasso",0.05,10000,1000,207,10,0.319018831980426,1,0.0181818181818182
"two-step oracle",0.05,10000,1000,207,10,0.0126533844362923,NA,NA
"glmnet",0.05,10000,1000,207,10,0.0405143511223527,1,0
"two-step",0.05,10000,1000,208,10,0.0804548300162479,1,0.0111111111111111
"two-step+Adaptive Lasso",0.05,10000,1000,208,10,0.283151168710974,1,0.0101010101010101
"two-step oracle",0.05,10000,1000,208,10,0.00710265604118524,NA,NA
"glmnet",0.05,10000,1000,208,10,0.0366098676188188,1,0.00202020202020202
"two-step",0.05,10000,1000,209,10,0.0756370880113592,1,0.00909090909090909
"two-step+Adaptive Lasso",0.05,10000,1000,209,10,0.31049123606974,1,0.00808080808080808
"two-step oracle",0.05,10000,1000,209,10,0.00866223790456333,NA,NA
"glmnet",0.05,10000,1000,209,10,0.0416584404217366,1,0
"two-step",0.05,10000,1000,20,10,0.0633281449994874,1,0.0151515151515152
"two-step+Adaptive Lasso",0.05,10000,1000,20,10,0.305012933143411,1,0.0131313131313131
"two-step oracle",0.05,10000,1000,20,10,0.0105846435471964,NA,NA
"glmnet",0.05,10000,1000,20,10,0.0487080831645606,1,0
"two-step",0.05,10000,1000,210,10,0.0697646626605929,1,0.00404040404040404
"two-step+Adaptive Lasso",0.05,10000,1000,210,10,0.242382302869598,1,0.00404040404040404
"two-step oracle",0.05,10000,1000,210,10,0.0155536231756571,NA,NA
"glmnet",0.05,10000,1000,210,10,0.0395986375236361,1,0
"two-step",0.05,10000,1000,211,10,0.0652909064426246,1,0.00808080808080808
"two-step+Adaptive Lasso",0.05,10000,1000,211,10,0.198027636989386,1,0
"two-step oracle",0.05,10000,1000,211,10,0.00513196645419398,NA,NA
"glmnet",0.05,10000,1000,211,10,0.0428747642593373,1,0
"two-step",0.05,10000,1000,212,10,0.0368671498466113,1,0.0151515151515152
"two-step+Adaptive Lasso",0.05,10000,1000,212,10,0.242079775913793,1,0.0121212121212121
"two-step oracle",0.05,10000,1000,212,10,0.00773583015570222,NA,NA
"glmnet",0.05,10000,1000,212,10,0.0494306093053233,1,0
